ConditionName,Outcome,CountryName,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED KINGDOM,2020-03-04,World Health Organization COVID-19 Dashboard,41.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-05,World Health Organization COVID-19 Dashboard,57.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-06,World Health Organization COVID-19 Dashboard,56.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-07,World Health Organization COVID-19 Dashboard,49.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-08,World Health Organization COVID-19 Dashboard,83.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-09,World Health Organization COVID-19 Dashboard,68.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-10,World Health Organization COVID-19 Dashboard,55.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-11,World Health Organization COVID-19 Dashboard,148.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-12,World Health Organization COVID-19 Dashboard,265.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-13,World Health Organization COVID-19 Dashboard,403.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-14,World Health Organization COVID-19 Dashboard,484.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-15,World Health Organization COVID-19 Dashboard,478.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-16,World Health Organization COVID-19 Dashboard,352.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-17,World Health Organization COVID-19 Dashboard,441.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-18,World Health Organization COVID-19 Dashboard,602.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-19,World Health Organization COVID-19 Dashboard,783.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-20,World Health Organization COVID-19 Dashboard,985.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-21,World Health Organization COVID-19 Dashboard,1042.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-22,World Health Organization COVID-19 Dashboard,1252.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-23,World Health Organization COVID-19 Dashboard,1181.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-24,World Health Organization COVID-19 Dashboard,1363.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-25,World Health Organization COVID-19 Dashboard,2290.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-26,World Health Organization COVID-19 Dashboard,2354.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-27,World Health Organization COVID-19 Dashboard,2666.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-28,World Health Organization COVID-19 Dashboard,3039.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-29,World Health Organization COVID-19 Dashboard,3154.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-30,World Health Organization COVID-19 Dashboard,2774.0
COVID-19,Unspecified,UNITED KINGDOM,2020-03-31,World Health Organization COVID-19 Dashboard,2818.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-01,World Health Organization COVID-19 Dashboard,4195.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-02,World Health Organization COVID-19 Dashboard,4463.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-03,World Health Organization COVID-19 Dashboard,4891.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-04,World Health Organization COVID-19 Dashboard,4824.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-05,World Health Organization COVID-19 Dashboard,4852.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-06,World Health Organization COVID-19 Dashboard,3976.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-07,World Health Organization COVID-19 Dashboard,3556.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-08,World Health Organization COVID-19 Dashboard,5273.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-09,World Health Organization COVID-19 Dashboard,5477.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-10,World Health Organization COVID-19 Dashboard,5146.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-11,World Health Organization COVID-19 Dashboard,4875.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-12,World Health Organization COVID-19 Dashboard,4327.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-13,World Health Organization COVID-19 Dashboard,3585.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-14,World Health Organization COVID-19 Dashboard,3507.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-15,World Health Organization COVID-19 Dashboard,4203.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-16,World Health Organization COVID-19 Dashboard,4335.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-17,World Health Organization COVID-19 Dashboard,5070.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-18,World Health Organization COVID-19 Dashboard,5292.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-19,World Health Organization COVID-19 Dashboard,4977.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-20,World Health Organization COVID-19 Dashboard,4743.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-21,World Health Organization COVID-19 Dashboard,3881.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-22,World Health Organization COVID-19 Dashboard,4441.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-23,World Health Organization COVID-19 Dashboard,4795.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-24,World Health Organization COVID-19 Dashboard,5517.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-25,World Health Organization COVID-19 Dashboard,5167.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-26,World Health Organization COVID-19 Dashboard,4961.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-27,World Health Organization COVID-19 Dashboard,3757.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-28,World Health Organization COVID-19 Dashboard,3476.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-29,World Health Organization COVID-19 Dashboard,4739.0
COVID-19,Unspecified,UNITED KINGDOM,2020-04-30,World Health Organization COVID-19 Dashboard,4720.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-01,World Health Organization COVID-19 Dashboard,5433.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-02,World Health Organization COVID-19 Dashboard,4961.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-03,World Health Organization COVID-19 Dashboard,4766.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-04,World Health Organization COVID-19 Dashboard,3258.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-05,World Health Organization COVID-19 Dashboard,3002.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-06,World Health Organization COVID-19 Dashboard,3398.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-07,World Health Organization COVID-19 Dashboard,3686.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-08,World Health Organization COVID-19 Dashboard,3832.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-09,World Health Organization COVID-19 Dashboard,3787.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-10,World Health Organization COVID-19 Dashboard,3064.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-11,World Health Organization COVID-19 Dashboard,2170.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-12,World Health Organization COVID-19 Dashboard,2337.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-13,World Health Organization COVID-19 Dashboard,3612.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-14,World Health Organization COVID-19 Dashboard,3410.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-15,World Health Organization COVID-19 Dashboard,3330.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-16,World Health Organization COVID-19 Dashboard,2630.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-17,World Health Organization COVID-19 Dashboard,2530.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-18,World Health Organization COVID-19 Dashboard,2082.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-19,World Health Organization COVID-19 Dashboard,1837.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-20,World Health Organization COVID-19 Dashboard,2581.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-21,World Health Organization COVID-19 Dashboard,3063.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-22,World Health Organization COVID-19 Dashboard,2719.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-23,World Health Organization COVID-19 Dashboard,2567.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-24,World Health Organization COVID-19 Dashboard,2057.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-25,World Health Organization COVID-19 Dashboard,1531.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-26,World Health Organization COVID-19 Dashboard,1373.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-27,World Health Organization COVID-19 Dashboard,1625.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-28,World Health Organization COVID-19 Dashboard,2070.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-29,World Health Organization COVID-19 Dashboard,1825.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-30,World Health Organization COVID-19 Dashboard,1757.0
COVID-19,Unspecified,UNITED KINGDOM,2020-05-31,World Health Organization COVID-19 Dashboard,1531.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-01,World Health Organization COVID-19 Dashboard,1132.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-02,World Health Organization COVID-19 Dashboard,1080.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-03,World Health Organization COVID-19 Dashboard,1438.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-04,World Health Organization COVID-19 Dashboard,1492.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-05,World Health Organization COVID-19 Dashboard,1369.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-06,World Health Organization COVID-19 Dashboard,1249.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-07,World Health Organization COVID-19 Dashboard,1123.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-08,World Health Organization COVID-19 Dashboard,804.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-09,World Health Organization COVID-19 Dashboard,722.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-10,World Health Organization COVID-19 Dashboard,1099.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-11,World Health Organization COVID-19 Dashboard,1165.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-12,World Health Organization COVID-19 Dashboard,1196.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-13,World Health Organization COVID-19 Dashboard,1013.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-14,World Health Organization COVID-19 Dashboard,1053.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-15,World Health Organization COVID-19 Dashboard,886.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-16,World Health Organization COVID-19 Dashboard,826.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-17,World Health Organization COVID-19 Dashboard,1045.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-18,World Health Organization COVID-19 Dashboard,1103.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-19,World Health Organization COVID-19 Dashboard,1017.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-20,World Health Organization COVID-19 Dashboard,1022.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-21,World Health Organization COVID-19 Dashboard,993.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-22,World Health Organization COVID-19 Dashboard,683.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-23,World Health Organization COVID-19 Dashboard,636.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-24,World Health Organization COVID-19 Dashboard,899.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-25,World Health Organization COVID-19 Dashboard,883.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-26,World Health Organization COVID-19 Dashboard,777.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-27,World Health Organization COVID-19 Dashboard,726.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-28,World Health Organization COVID-19 Dashboard,666.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-29,World Health Organization COVID-19 Dashboard,653.0
COVID-19,Unspecified,UNITED KINGDOM,2020-06-30,World Health Organization COVID-19 Dashboard,449.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-01,World Health Organization COVID-19 Dashboard,724.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-02,World Health Organization COVID-19 Dashboard,623.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-03,World Health Organization COVID-19 Dashboard,652.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-04,World Health Organization COVID-19 Dashboard,606.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-05,World Health Organization COVID-19 Dashboard,568.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-06,World Health Organization COVID-19 Dashboard,399.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-07,World Health Organization COVID-19 Dashboard,558.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-08,World Health Organization COVID-19 Dashboard,714.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-09,World Health Organization COVID-19 Dashboard,608.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-10,World Health Organization COVID-19 Dashboard,713.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-11,World Health Organization COVID-19 Dashboard,722.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-12,World Health Organization COVID-19 Dashboard,568.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-13,World Health Organization COVID-19 Dashboard,459.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-14,World Health Organization COVID-19 Dashboard,366.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-15,World Health Organization COVID-19 Dashboard,740.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-16,World Health Organization COVID-19 Dashboard,705.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-17,World Health Organization COVID-19 Dashboard,777.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-18,World Health Organization COVID-19 Dashboard,712.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-19,World Health Organization COVID-19 Dashboard,582.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-20,World Health Organization COVID-19 Dashboard,505.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-21,World Health Organization COVID-19 Dashboard,448.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-22,World Health Organization COVID-19 Dashboard,830.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-23,World Health Organization COVID-19 Dashboard,788.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-24,World Health Organization COVID-19 Dashboard,816.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-25,World Health Organization COVID-19 Dashboard,808.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-26,World Health Organization COVID-19 Dashboard,774.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-27,World Health Organization COVID-19 Dashboard,530.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-28,World Health Organization COVID-19 Dashboard,563.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-29,World Health Organization COVID-19 Dashboard,869.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-30,World Health Organization COVID-19 Dashboard,856.0
COVID-19,Unspecified,UNITED KINGDOM,2020-07-31,World Health Organization COVID-19 Dashboard,1062.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-01,World Health Organization COVID-19 Dashboard,946.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-02,World Health Organization COVID-19 Dashboard,697.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-03,World Health Organization COVID-19 Dashboard,559.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-04,World Health Organization COVID-19 Dashboard,564.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-05,World Health Organization COVID-19 Dashboard,1060.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-06,World Health Organization COVID-19 Dashboard,1065.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-07,World Health Organization COVID-19 Dashboard,1092.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-08,World Health Organization COVID-19 Dashboard,1105.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-09,World Health Organization COVID-19 Dashboard,973.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-10,World Health Organization COVID-19 Dashboard,710.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-11,World Health Organization COVID-19 Dashboard,627.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-12,World Health Organization COVID-19 Dashboard,1499.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-13,World Health Organization COVID-19 Dashboard,1378.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-14,World Health Organization COVID-19 Dashboard,1242.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-15,World Health Organization COVID-19 Dashboard,1156.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-16,World Health Organization COVID-19 Dashboard,1185.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-17,World Health Organization COVID-19 Dashboard,714.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-18,World Health Organization COVID-19 Dashboard,602.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-19,World Health Organization COVID-19 Dashboard,1298.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-20,World Health Organization COVID-19 Dashboard,1116.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-21,World Health Organization COVID-19 Dashboard,1282.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-22,World Health Organization COVID-19 Dashboard,1498.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-23,World Health Organization COVID-19 Dashboard,1218.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-24,World Health Organization COVID-19 Dashboard,842.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-25,World Health Organization COVID-19 Dashboard,831.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-26,World Health Organization COVID-19 Dashboard,1301.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-27,World Health Organization COVID-19 Dashboard,1270.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-28,World Health Organization COVID-19 Dashboard,1388.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-29,World Health Organization COVID-19 Dashboard,1591.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-30,World Health Organization COVID-19 Dashboard,1632.0
COVID-19,Unspecified,UNITED KINGDOM,2020-08-31,World Health Organization COVID-19 Dashboard,1230.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-01,World Health Organization COVID-19 Dashboard,1171.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-02,World Health Organization COVID-19 Dashboard,1513.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-03,World Health Organization COVID-19 Dashboard,2288.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-04,World Health Organization COVID-19 Dashboard,3077.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-05,World Health Organization COVID-19 Dashboard,3152.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-06,World Health Organization COVID-19 Dashboard,3092.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-07,World Health Organization COVID-19 Dashboard,2551.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-08,World Health Organization COVID-19 Dashboard,2465.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-09,World Health Organization COVID-19 Dashboard,3931.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-10,World Health Organization COVID-19 Dashboard,3370.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-11,World Health Organization COVID-19 Dashboard,3365.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-12,World Health Organization COVID-19 Dashboard,3628.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-13,World Health Organization COVID-19 Dashboard,3324.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-14,World Health Organization COVID-19 Dashboard,2670.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-15,World Health Organization COVID-19 Dashboard,2154.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-16,World Health Organization COVID-19 Dashboard,3428.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-17,World Health Organization COVID-19 Dashboard,3551.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-18,World Health Organization COVID-19 Dashboard,4399.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-19,World Health Organization COVID-19 Dashboard,4676.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-20,World Health Organization COVID-19 Dashboard,4973.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-21,World Health Organization COVID-19 Dashboard,4889.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-22,World Health Organization COVID-19 Dashboard,5340.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-23,World Health Organization COVID-19 Dashboard,5627.0
COVID-19,Unspecified,UNITED KINGDOM,2020-09-24,World Health Organization COVID-19 Dashboard,6441.0
